EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN COLOMBIA AÑO 2021 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,Sin información.7,Sin información.8,CIFRA
VARIABLE: ESCENARIO DEL HECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulancia - transporte sanitario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Áreas deportivas y/o recreativas,-,-,-,-,-,-,-,-,-,10,-,-,10,10,2,-,12,22,-,-,-,-,2,-,-,2,2,-,-,-,-,1,-,-,1,1,-,-,-,-,4,1,-,5,5,1,-,-,1,6,4,-,10,11,-,-,-,-,5,3,-,8,8,-,-,-,-,1,1,-,2,2,-,-,-,-,-,1,-,1,1,-,-,-,-,3,1,-,4,4,2,-,-,2,4,-,-,4,6,-,-,-,-,1,1,-,2,2,1,-,-,1,4,-,-,4,5,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,2,4,-,-,4,10,1,-,11,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,1,-,-,1,4,-,-,-,-,1,1,-,2,2,-,-,-,-,-,1,-,1,1,1,-,-,1,2,-,-,2,3,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,3,-,-,3,3,-,-,-,-,1,1,-,2,2,-,-,-,-,3,1,-,4,4,3,-,-,3,2,1,-,3,6,-,-,-,-,1,1,-,2,2,3,-,-,3,5,2,-,7,10,1,-,-,1,2,2,-,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129
"Calle (autopista, avenida, dentro de la ciudad)",-,-,-,-,-,-,-,-,-,9,4,-,13,47,31,-,78,91,1,1,-,2,7,1,-,8,10,-,-,-,-,-,-,-,-,-,2,-,-,2,10,5,-,15,17,26,4,-,30,145,61,-,206,236,3,-,-,3,21,6,-,27,30,-,1,-,1,7,7,-,14,15,1,-,-,1,7,3,-,10,11,1,-,-,1,12,2,-,14,15,-,-,-,-,7,5,-,12,12,-,-,-,-,7,4,-,11,11,2,-,-,2,33,13,-,46,48,-,-,-,-,1,-,-,1,1,1,-,-,1,48,14,-,62,63,23,-,-,23,81,25,-,106,129,-,-,-,-,2,-,-,2,2,-,-,-,-,4,1,-,5,5,3,1,-,4,16,4,-,20,24,4,-,-,4,37,9,-,46,50,4,-,-,4,18,6,-,24,28,1,-,-,1,10,3,-,13,14,-,-,-,-,6,1,-,7,7,5,1,-,6,23,6,-,29,35,1,-,-,1,1,2,-,3,4,2,-,-,2,9,-,-,9,11,-,-,-,-,7,3,-,10,10,2,-,-,2,21,15,-,36,38,3,-,-,3,8,2,-,10,13,6,4,-,10,44,14,-,58,68,6,1,-,7,33,27,-,60,67,-,-,-,-,1,1,-,2,2,-,-,-,-,1,-,-,1,1,-,-,-,-,2,-,-,2,2,1070
Carretera (fuera de la ciudad),-,-,-,-,-,-,-,-,-,1,-,-,1,7,10,-,17,18,-,-,-,-,3,2,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,2,3,-,5,5,-,-,-,-,3,-,-,3,3,4,-,-,4,4,5,-,9,13,-,-,-,-,2,3,-,5,5,-,-,-,-,2,-,-,2,2,-,-,-,-,5,1,-,6,6,-,1,-,1,2,11,-,13,14,-,-,-,-,1,1,-,2,2,-,-,-,-,1,1,-,2,2,1,-,-,1,13,6,-,19,20,-,-,-,-,13,6,-,19,19,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,10,5,-,15,16,-,-,-,-,2,4,-,6,6,-,-,-,-,-,1,-,1,1,-,-,-,-,4,1,-,5,5,-,-,-,-,-,1,-,1,1,-,-,-,-,2,1,-,3,3,1,-,-,1,2,2,-,4,5,1,-,-,1,-,-,-,-,1,1,1,-,2,2,-,-,2,4,-,-,-,-,3,3,-,6,6,-,-,-,-,4,2,-,6,6,1,2,-,3,8,15,-,23,26,1,-,-,1,3,8,-,11,12,-,-,-,-,3,1,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212
"Centro de atención médica (hospital, clínica, consultorio, etc.)",-,-,-,-,1,-,-,1,1,1,2,-,3,1,7,-,8,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,6,-,9,10,1,3,-,4,4,16,-,20,24,-,-,-,-,-,2,-,2,2,-,-,-,-,1,-,-,1,1,1,-,-,1,-,1,-,1,2,-,1,-,1,-,3,-,3,4,-,-,-,-,-,1,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,1,3,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,3,-,3,-,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,3,-,4,5,-,-,-,-,-,1,-,1,1,-,-,-,-,1,2,-,3,3,-,1,-,1,-,2,-,2,3,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,1,1,4,-,-,4,1,3,-,4,8,-,1,-,1,2,1,-,3,4,1,-,-,1,-,3,-,3,4,-,-,-,-,4,1,-,5,5,-,-,-,-,-,5,-,5,5,2,-,-,2,-,6,-,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116
Centros de reclusión,-,-,-,-,-,-,-,-,-,1,4,-,5,-,1,-,1,6,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,4,-,4,-,-,-,-,4,-,4,-,4,-,5,-,5,9,-,2,-,2,-,-,-,-,2,-,4,-,4,-,-,-,-,4,-,1,-,1,-,-,-,-,1,-,1,-,1,-,-,-,-,1,-,1,-,1,-,-,-,-,1,-,1,-,1,-,1,-,1,2,-,5,-,5,-,-,-,-,5,-,1,-,1,-,-,-,-,1,-,1,-,1,-,1,-,1,2,1,1,-,2,1,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,3,-,1,-,1,-,-,-,-,1,-,2,-,2,-,-,-,-,2,2,1,-,3,-,1,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,4,-,4,1,1,-,2,6,-,1,-,1,-,-,-,-,1,-,3,-,3,1,-,-,1,4,2,2,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69
Centros educativos,-,-,-,-,1,-,-,1,1,25,-,-,25,19,6,-,25,50,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,2,4,-,-,4,6,15,2,-,17,40,4,-,44,61,3,-,-,3,3,-,-,3,6,1,-,-,1,5,-,-,5,6,1,-,-,1,4,-,-,4,5,-,-,-,-,3,-,-,3,3,-,-,-,-,1,-,-,1,1,1,2,-,3,5,-,-,5,8,1,-,-,1,3,1,-,4,5,-,-,-,-,1,1,-,2,2,1,-,-,1,4,1,-,5,6,11,-,-,11,14,3,-,17,28,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,4,-,-,-,-,2,-,-,2,2,-,-,-,-,1,-,-,1,1,2,-,-,2,4,-,-,4,6,2,-,-,2,3,-,-,3,5,-,-,-,-,-,-,-,-,-,5,-,-,5,1,-,-,1,6,-,-,-,-,1,-,-,1,1,1,-,-,1,8,2,-,10,11,11,-,-,11,27,1,-,28,39,1,-,-,1,4,-,-,4,5,-,-,-,-,1,-,-,1,1,1,-,-,1,10,1,-,11,12,2,-,-,2,15,1,-,16,18,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301
"Espacios acuáticos al aire libre (mar, río, arroyo, humedal, lago, etc.)",-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,3,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,3,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-,1,-,1,-,1,2,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,4,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28
"Espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",-,-,-,-,2,1,-,3,3,2,-,-,2,25,15,-,40,42,-,-,-,-,3,3,-,6,6,-,-,-,-,-,1,-,1,1,1,1,-,2,11,11,-,22,24,-,1,-,1,6,7,-,13,14,4,1,-,5,14,12,-,26,31,2,-,-,2,20,11,-,31,33,2,1,-,3,7,2,-,9,12,-,-,-,-,6,3,-,9,9,2,2,-,4,5,-,-,5,9,1,-,-,1,5,3,-,8,9,-,1,-,1,5,4,-,9,10,-,1,-,1,2,6,-,8,9,1,-,-,1,6,3,-,9,10,4,2,-,6,19,7,-,26,32,-,-,-,-,3,1,-,4,4,1,-,-,1,1,-,-,1,2,2,-,-,2,7,7,-,14,16,4,-,-,4,17,4,-,21,25,3,-,-,3,11,4,-,15,18,-,-,-,-,6,8,-,14,14,-,-,-,-,3,-,-,3,3,-,-,-,-,4,3,-,7,7,-,-,-,-,1,2,-,3,3,-,-,-,-,2,2,-,4,4,6,-,-,6,13,7,-,20,26,11,2,-,13,15,7,-,22,35,3,-,-,3,7,1,-,8,11,2,2,-,4,18,16,-,34,38,2,-,-,2,9,15,-,24,26,-,-,-,-,2,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,490
"Establecimiento comercial (tienda, centro comercial, almacén, plaza de mercado)",-,1,-,1,-,-,-,-,1,3,-,-,3,6,3,-,9,12,-,-,-,-,1,2,-,3,3,-,-,-,-,-,-,-,-,-,1,1,-,2,5,5,-,10,12,4,2,-,6,31,25,-,56,62,1,-,-,1,1,-,-,1,2,1,-,-,1,2,4,-,6,7,-,1,-,1,3,3,-,6,7,1,-,-,1,1,2,-,3,4,-,1,-,1,2,-,-,2,3,1,-,-,1,3,-,-,3,4,3,-,-,3,7,-,-,7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,1,1,-,2,8,11,-,19,21,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,1,8,1,-,9,10,-,-,-,-,1,-,-,1,1,1,-,-,1,4,1,-,5,6,1,-,-,1,4,4,-,8,9,-,-,-,-,1,2,-,3,3,3,-,-,3,1,3,-,4,7,-,-,-,-,1,1,-,2,2,1,-,-,1,5,2,-,7,8,1,-,-,1,6,6,-,12,13,2,-,-,2,14,6,-,20,22,1,-,-,1,1,1,-,2,3,1,-,-,1,10,6,-,16,17,2,1,-,3,4,5,-,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,267
"Establecimiento industrial (fábrica, planta) y/o obras en construcción",-,-,-,-,-,-,-,-,-,1,-,-,1,6,1,-,7,8,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22
"Establecimientos de expendio de comidas (restaurantes, asaderos, salsamentarias, etc.)",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,4,4,1,1,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
"Establecimientos dedicados a la administración pública (cortes, juzgados, ministerios, etc.)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Estaciones de servicio (bombas de gasolina),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Guarniciones militares y/o de policía,-,-,-,-,-,-,-,-,-,-,3,-,3,-,2,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,5,5,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,1,-,-,-,-,1,-,2,-,2,-,-,-,-,2,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,1,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,3,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28
"Lugares de actividades culturales (cines, teatros, museos, bibliotecas, etc.)",-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,6,6,-,-,-,-,1,-,-,1,1,-,-,-,-,2,-,-,2,2,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,6,1,-,7,7,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32
"Lugares de cuidado de personas (hospicios, orfelinatos, hogares geriátricos, etc.)",-,-,-,-,1,-,-,1,1,2,2,-,4,2,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,5,2,-,7,6,4,-,10,17,2,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,1,-,1,1,-,-,1,2,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,1,2,-,3,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,3,1,-,-,1,-,-,-,-,1,1,-,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,-,1,-,1,4,2,-,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58
